,gitOutlet_ID,volume_mean,volume_max,volume_sum,transactions
0,OUT_00001,64.00155114658824,450.3368362,5440.13184746,85
1,OUT_00002,66.21106694942857,475.491288,6952.16202969,105
2,OUT_00003,64.65786709143269,461.9973339,6724.418177509,104
3,OUT_00004,69.4477941575701,509.374606,7430.91397486,107
4,OUT_00005,62.22841504564486,501.5210169,6658.440409884,107
5,OUT_00006,61.37669639101111,467.0247379,5523.902675191,90
6,OUT_00007,60.88916714665217,410.8428536,5601.8033774919995,92
7,OUT_00008,70.26933403398809,507.6276353,5902.624058855,84
8,OUT_00009,70.72508570773738,452.4735784,7001.783485066,99
9,OUT_00010,64.32854207916667,454.3475872,6175.5400396000005,96
10,OUT_00011,65.6776099277551,457.2551532,6436.40577292,98
11,OUT_00012,63.926206252654204,398.6504458,6840.104069034,107
12,OUT_00013,58.30752977225234,365.367131,6238.905685631,107
13,OUT_00014,65.38566231911607,422.5812904,7323.194179741,112
14,OUT_00015,73.13038286507216,477.8082079,7093.647137912,97
15,OUT_00016,71.7951194362381,449.1616261,7538.487540805,105
16,OUT_00017,58.983796983800005,314.9934424,5898.37969838,100
17,OUT_00018,60.773118772122636,353.3689964,6441.950589845,106
18,OUT_00019,65.76464390970297,487.6243525,6642.22903488,101
19,OUT_00020,63.641605215319146,413.0417577,5982.31089024,94
20,OUT_00021,72.25327806185184,478.0747734,5852.51552301,81
21,OUT_00022,62.46477369793137,448.8401157,6371.406917189,102
22,OUT_00023,59.932256517000006,433.9066974,6292.886934285,105
23,OUT_00024,63.9525354516,495.786094,6395.25354516,100
24,OUT_00025,70.75828279591666,484.0204102,8490.99393551,120
25,OUT_00026,58.572378198008934,437.0124408,6560.106358177,112
26,OUT_00027,62.628550724568804,495.1792094,6826.512028978,109
27,OUT_00028,71.53134026357732,479.1687909,6938.540005567,97
28,OUT_00029,69.72699086507693,392.0651449,6345.156168722,91
29,OUT_00030,60.87864999298958,364.6885241,5844.350399327,96
30,OUT_00031,57.531569419245095,388.1992543,5868.220080763,102
31,OUT_00032,71.62635830973504,447.8707672,8380.283922239,117
32,OUT_00033,53.25571596224272,506.0565323,5485.338744111,103
33,OUT_00034,69.22994913655556,417.81289,7476.834506748,108
34,OUT_00035,60.60352809689691,454.2754283,5878.542225399,97
35,OUT_00036,61.80783284668817,349.8683109,5748.128454742,93
36,OUT_00037,75.34281264814142,431.4901741,7458.938452166,99
37,OUT_00038,74.70458474515463,513.6607467,7246.34472028,97
38,OUT_00039,57.294347169732674,467.5255576,5786.729064143,101
39,OUT_00040,60.12059011425,462.0773094,6012.059011425,100
40,OUT_00041,65.42134279723913,419.0225323,6018.763537346,92
41,OUT_00042,71.83470880761467,514.84699,7829.98326003,109
42,OUT_00043,55.16107990880612,430.0349432,5405.785831063,98
43,OUT_00044,55.83309663835238,509.2709624,5862.475147027,105
44,OUT_00045,64.61978546081133,458.8795364,6849.697258846,106
45,OUT_00046,74.31767509246835,537.0843543,5871.096332305,79
46,OUT_00047,63.28079574978641,472.3497922,6517.921962228,103
47,OUT_00048,79.01151441105715,448.7221334,8296.209013161,105
48,OUT_00049,60.771395052061855,468.6863545,5894.82532005,97
49,OUT_00050,61.68877025187931,454.7678283,7155.897349218,116
50,OUT_00051,61.73960398047917,426.4244929,5927.001982126,96
51,OUT_00052,68.87873507938775,466.0932745,6750.11603778,98
52,OUT_00053,65.37133632314,448.3195045,6537.133632314,100
53,OUT_00054,66.68896164577143,444.3956176,7002.340972806,105
54,OUT_00055,64.1472220072381,453.440832,6735.45831076,105
55,OUT_00056,52.592163232686865,387.2063277,5206.624160036,99
56,OUT_00057,61.10152905740708,356.7456548,6904.472783487,113
57,OUT_00058,62.40158363835537,368.8920692,7550.591620241,121
58,OUT_00059,63.0312050926281,492.9219914,7626.775816208,121
59,OUT_00060,70.25892594134783,489.5290384,6463.821186604,92
60,OUT_00061,71.64360989847826,497.6293181,6591.21211066,92
61,OUT_00062,59.63471127415151,332.1100834,5903.836416141,99
62,OUT_00063,61.83044546349074,361.7538496,6677.688110057,108
63,OUT_00064,64.62726332448113,497.7418889,6850.489912395,106
64,OUT_00065,70.33660697287233,474.8842821,6611.64105545,94
65,OUT_00066,63.75013028627272,437.2810117,7012.51433149,110
66,OUT_00067,67.22914633225962,484.1050469,6991.831218555,104
67,OUT_00068,57.37234117504425,429.2866626,6483.07455278,113
68,OUT_00069,62.15978463762766,376.4820163,5843.019755937,94
69,OUT_00070,70.5989696475042,487.9311689,8401.277388053,119
70,OUT_00071,68.08253486692249,455.3699021,8782.646997833,129
71,OUT_00072,67.4514091808584,458.4444861,7622.009237437,113
72,OUT_00073,69.31838447291453,502.3964005,8110.2509833310005,117
