gitOutlet_ID,volume_mean,volume_sum,transactions,Potential_Target,target,Outlet_ID,Latitude,Longitude,nearby_schools
OUT_00001,64.00155114658824,5440.13184746,85,296.78886329999995,296.78886329999995,OUT_00001,7.089846,79.979055,5
OUT_00002,66.21106694942857,6952.16202969,105,278.46797474,278.46797474,OUT_00002,7.000558,80.012422,5
OUT_00003,64.65786709143269,6724.418177509,104,287.0791956799998,287.0791956799998,OUT_00003,6.80617,79.854547,5
OUT_00004,69.4477941575701,7430.91397486,107,294.07322760999944,294.07322760999944,OUT_00004,6.703533,79.806919,5
OUT_00005,62.22841504564486,6658.440409884,107,313.35217012999993,313.35217012999993,OUT_00005,7.186878,79.869831,5
OUT_00006,61.37669639101111,5523.902675191,90,298.57913375999993,298.57913375999993,OUT_00006,6.957117,79.977724,5
OUT_00007,60.88916714665217,5601.803377492,92,290.9167119450001,290.9167119450001,OUT_00007,6.92525,79.803979,5
OUT_00008,70.26933403398809,5902.624058855,84,280.1235526399999,280.1235526399999,OUT_00008,6.852307,79.829302,5
OUT_00009,70.72508570773738,7001.783485066,99,297.38697918,297.38697918,OUT_00009,7.116597,79.852009,5
OUT_00010,64.32854207916667,6175.5400396000005,96,275.566893225,275.566893225,OUT_00010,6.912578,79.862382,5
OUT_00011,65.6776099277551,6436.40577292,98,312.1804631,312.1804631,OUT_00011,7.169749,80.068448,5
OUT_00012,63.92620625265421,6840.104069034,107,276.0336383799999,276.0336383799999,OUT_00012,6.797991,79.813568,5
OUT_00013,58.30752977225234,6238.905685631,107,295.91667047999977,295.91667047999977,OUT_00013,6.993376,80.089577,5
OUT_00014,65.38566231911607,7323.194179741,112,283.0301515799999,283.0301515799999,OUT_00014,6.707818,79.92702,5
OUT_00015,73.13038286507216,7093.647137912,97,321.07145461999977,321.07145461999977,OUT_00015,6.799421,80.013403,5
OUT_00016,71.7951194362381,7538.487540805,105,316.85872041999994,316.85872041999994,OUT_00016,6.879233,79.834761,5
OUT_00017,58.983796983800005,5898.37969838,100,220.1215363349999,220.1215363349999,OUT_00017,6.747705,79.911245,5
OUT_00018,60.77311877212264,6441.950589845,106,251.639691075,251.639691075,OUT_00018,7.143606,79.941664,5
OUT_00019,65.76464390970297,6642.22903488,101,241.9959328,241.9959328,OUT_00019,7.060865,79.870795,5
OUT_00020,63.641605215319146,5982.31089024,94,307.380941535,307.380941535,OUT_00020,6.755445,79.931801,5
OUT_00021,72.25327806185184,5852.51552301,81,310.6452444,310.6452444,OUT_00021,6.981638,80.008655,5
OUT_00022,62.46477369793137,6371.406917189,102,264.8345987,264.8345987,OUT_00022,6.801531,80.082856,5
OUT_00023,59.932256517000006,6292.886934285,105,279.13024598,279.13024598,OUT_00023,7.012177,79.88869,5
OUT_00024,63.9525354516,6395.25354516,100,276.89323192499995,276.89323192499995,OUT_00024,6.793285,80.067768,5
OUT_00025,70.75828279591666,8490.99393551,120,304.811991635,304.811991635,OUT_00025,6.859002,79.833016,5
OUT_00026,58.57237819800893,6560.106358177,112,251.15973008499984,251.15973008499984,OUT_00026,6.876284,79.891434,5
OUT_00027,62.6285507245688,6826.512028978,109,298.5817825799999,298.5817825799999,OUT_00027,6.811054,79.83596,5
OUT_00028,71.53134026357732,6938.540005567,97,318.4123862,318.4123862,OUT_00028,6.901918,79.819468,5
OUT_00029,69.72699086507693,6345.156168722,91,294.20405600000004,294.20405600000004,OUT_00029,6.948624,79.890263,5
OUT_00030,60.87864999298958,5844.350399327,96,306.658189975,306.658189975,,,,5
OUT_00031,57.531569419245095,5868.220080763,102,182.3424311649996,182.3424311649996,OUT_00031,7.040353,79.95928,5
OUT_00032,71.62635830973504,8380.283922239,117,318.3166141999999,318.3166141999999,OUT_00032,7.036068,80.028486,5
OUT_00033,53.25571596224272,5485.338744111,103,149.56767154999997,149.56767154999997,OUT_00033,7.016153,79.990059,5
OUT_00034,69.22994913655556,7476.834506748,108,304.61261613,304.61261613,OUT_00034,6.775359,79.95246,5
OUT_00035,60.60352809689691,5878.542225399,97,216.46039127999904,216.46039127999904,OUT_00035,6.810121,80.013345,5
