Date,Holiday_Name,Holiday_Type
2023-01-06 00:00:00+00:00,Duruthu Full Moon Poya Day,Public
2023-01-15 00:00:00+00:00,Tamil Thai Pongal Day,Public
2023-01-16 00:00:00+00:00,Additional Holiday in lieu of Tamil Thai Pongal falling on Sunday,Public
2023-02-03 00:00:00+00:00,Additional Half Holiday in lieu of the Independence Day  falling on Saturday,Public
2023-02-04 00:00:00+00:00,National Day,Public
2023-02-05 00:00:00+00:00,Navam Full Moon Poya Day,Public
2024-03-24 00:00:00+00:00,Medin Full Moon Poya Day,Public
2023-03-06 00:00:00+00:00,Medin Full Moon Poya Day,Public
2023-04-05 00:00:00+00:00,Bak Full Moon Poya Day,Public
2023-04-07 00:00:00+00:00,Good Friday,Public
2023-04-13 00:00:00+00:00,Day Prior to Sinhala and Tamil New Year Day,Public
2023-04-14 00:00:00+00:00,Sinhala and Tamil New Year Day,Public
2023-05-01 00:00:00+00:00,Labour Day,Public
2023-05-04 00:00:00+00:00,Additional Half Holiday in lieu of  Day following Vesak Full  Moon Poya Day falling on Saturday,Public
2023-05-05 00:00:00+00:00,Vesak Full Moon Poya Day,Public
2023-05-06 00:00:00+00:00,Day after Vesak Full Moon Poya Day,Public
2023-06-03 00:00:00+00:00,Poson Full Moon Poya Day,Public
2023-07-03 00:00:00+00:00,Adi Esala Full Moon Poya Day,Public
2023-08-01 00:00:00+00:00,Esala Full Moon Poya Day,Public
2023-08-30 00:00:00+00:00,Nikini Full Moon Poya Day,Public
2023-09-28 00:00:00+00:00,Holy Prophet's Birthday,Public
2023-09-29 00:00:00+00:00,Binara Full Moon Poya Day,Public
2023-10-28 00:00:00+00:00,Vap Full Moon Poya Day,Public
2023-11-26 00:00:00+00:00,Il Full Moon Poya Day,Public
2023-12-25 00:00:00+00:00,Christmas Day,Public
2023-12-26 00:00:00+00:00,Unduvap Full Moon Poya Day,Public
2025-02-12 00:00:00+00:00,Navam Full Moon Poya Day,Poya Day
2024-02-23 00:00:00+00:00,Navam Full Moon Poya Day,Poya Day
2024-04-24 00:00:00+00:00,Bak Full Moon Poya Day,Poya Day
2024-05-23 00:00:00+00:00,Vesak Full Moon Poya Day,Poya Day
2025-08-10 00:00:00+00:00,Nikini Full Moon Poya Day,Poya Day
2024-09-17 00:00:00+00:00,Binara Full Moon Poya Day,Poya Day
2024-12-14 00:00:00+00:00,Unduvap Full Moon Poya Day,Poya Day
2024-01-25 00:00:00+00:00,Duruthu Full Moon Poya Day,Public
2024-01-15 00:00:00+00:00,Tamil Thai Pongal Day,Public
2024-02-05 00:00:00+00:00,Additional Half Holiday in lieu of the Independence Day  falling on Sunday,Public
2024-02-04 00:00:00+00:00,National Day,Public
2024-03-08 00:00:00+00:00,Maha Shiva Rathri Day,Public
2024-03-29 00:00:00+00:00,Good Friday,Public
2024-04-11 00:00:00+00:00,Ramazan Day,Public
2024-04-13 00:00:00+00:00,Day Prior to Sinhala and Tamil New Year Day,Public
2024-04-14 00:00:00+00:00,Sinhala and Tamil New Year Day,Public
2024-04-23 00:00:00+00:00,Bak Full Moon Poya Day,Public
2024-05-01 00:00:00+00:00,Labour Day,Public
2024-05-24 00:00:00+00:00,Day after Vesak Full Moon Poya Day,Public
2024-06-17 00:00:00+00:00,Hajji Festival Day,Public
2024-06-21 00:00:00+00:00,Poson Full Moon Poya Day,Public
2024-07-20 00:00:00+00:00,Esala Full Moon Poya Day,Public
2024-08-19 00:00:00+00:00,Nikini Full Moon Poya Day,Public
2024-09-16 00:00:00+00:00,Holy Prophet's Birthday,Public
2024-10-17 00:00:00+00:00,Vap Full Moon Poya Day,Public
2024-10-31 00:00:00+00:00,Deepavali Day,Public
2024-11-15 00:00:00+00:00,Il Full Moon Poya Day,Public
2024-12-25 00:00:00+00:00,Christmas Day,Public
2024-04-25 00:00:00+00:00,Bak Full Moon Poya Day,Bank
2024-04-26 00:00:00+00:00,Bak Full Moon Poya Day,Mercantile
2023-02-03 00:00:00+00:00,Additional Half Holiday in lieu of the Independence Day falling on Saturday,Public
2023-05-04 00:00:00+00:00,Additional Half Holiday in lieu of  Day following Vesak Full Moon Poya Day falling on Saturday,Public
2025-01-13 00:00:00+00:00,Duruthu Full Moon Poya Day,Public
2025-01-14 00:00:00+00:00,Tamil Thai Pongal Day,Public
2025-02-04 00:00:00+00:00,lndependence Day,Public
2025-03-13 00:00:00+00:00,Madin Full Moon Poya Day,Public
2025-04-12 00:00:00+00:00,Bak Full Moon Poya Day,Public
2025-04-13 00:00:00+00:00,Day Prior to Sinhala & Tamil New Year Day,Public
2025-04-14 00:00:00+00:00,Sinhala & Tamil New Year Day,Public
2025-04-18 00:00:00+00:00,Good Friday,Public
2025-05-01 00:00:00+00:00,May Day,Public
2025-05-12 00:00:00+00:00,Vesak Full Moon Poya Day,Public
2025-05-13 00:00:00+00:00,Day following Vesak Full Moon Poya Day,Public
2025-06-10 00:00:00+00:00,Poson Full Moon Poya Day,Public
2025-07-10 00:00:00+00:00,Esala Full Moon Poya Day,Public
2025-09-05 00:00:00+00:00,Holy Prophet's Birthday (Milad-Un-Nabi),Public
2025-09-07 00:00:00+00:00,Binara Full Moon Poya Day,Public
2025-10-06 00:00:00+00:00,Vap Full Moon Poya Day,Public
2025-11-05 00:00:00+00:00,Ill Full Moon Poya Day,Public
2025-12-04 00:00:00+00:00,Unduvap Full Moon Poya Day,Public
2025-12-25 00:00:00+00:00,Christmas Day,Public
2025-04-15 00:00:00+00:00,Additional full holiday in lieu of Day prior to Sinhala & Tamil New Year Day falling on Sunday,Bank
