iter	RMSE
0	90.94861494
1	86.73997578
2	82.72675109
3	78.92889922
4	75.34222392
5	71.94727632
6	68.75045805
7	65.69642308
8	62.80181986
9	60.07960263
10	57.48047371
11	55.0334361
12	52.72476573
13	50.54388472
14	48.48276361
15	46.52988224
16	44.69473343
17	42.94926727
18	41.3158813
19	39.76642538
20	38.29914527
21	36.91187562
22	35.61615467
23	34.40173744
24	33.25991117
25	32.19067969
26	31.17949552
27	30.19114624
28	29.28143794
29	28.43088124
30	27.60426612
31	26.83975813
32	26.12575107
33	25.43091366
34	24.79809345
35	24.20781495
36	23.6563505
37	23.1431401
38	22.66397723
39	22.18299826
40	21.76521658
41	21.36800909
42	20.99906746
43	20.63337061
44	20.31453572
45	20.02265056
46	19.72424711
47	19.46815334
48	19.23527741
49	19.01829868
50	18.78621835
51	18.56592133
52	18.37650129
53	18.21318498
54	18.05222779
55	17.89936428
56	17.75864175
57	17.61554181
58	17.43306796
59	17.28051741
60	17.16837791
61	17.02597745
62	16.89667786
63	16.74039595
64	16.65083794
65	16.51569324
66	16.39802832
67	16.27908577
68	16.15324643
69	16.04965106
70	15.93669011
71	15.81286457
72	15.7446376
73	15.67889842
74	15.59705668
75	15.5056162
76	15.39359556
77	15.3148141
78	15.26454004
79	15.19634401
80	15.12753177
81	15.07646704
82	15.02153314
83	14.9803907
84	14.91938983
85	14.85779033
86	14.80875635
87	14.75673588
88	14.71619495
89	14.66864626
90	14.63460511
91	14.52733577
92	14.46200506
93	14.38825556
94	14.33610376
95	14.29986126
96	14.25292117
97	14.19477176
98	14.13279661
99	14.10243632
100	14.06947967
101	14.03031098
102	13.99415801
103	13.96327411
104	13.86813414
105	13.84335219
106	13.8166102
107	13.74283617
108	13.6693405
109	13.63645417
110	13.58859274
111	13.57275611
112	13.51133555
113	13.44472297
114	13.42891322
115	13.36860713
116	13.32811409
117	13.230678
118	13.19531222
119	13.10654453
120	13.08293144
121	13.06811431
122	13.03480985
123	12.96248647
124	12.94728191
125	12.89566738
126	12.82163351
127	12.80579394
128	12.78382565
129	12.76234382
130	12.71545082
131	12.70188466
132	12.67724304
133	12.6448011
134	12.60880006
135	12.58021145
136	12.51396524
137	12.48790259
138	12.42884183
139	12.41019293
140	12.39397468
141	12.36638443
142	12.34876039
143	12.29287507
144	12.27454813
145	12.26028431
146	12.24515079
147	12.19416198
148	12.18151518
149	12.1700167
150	12.15963662
151	12.13550063
152	12.07529526
153	12.03189592
154	12.01999193
155	12.00512535
156	11.95274821
157	11.91730744
158	11.9075665
159	11.8938431
160	11.84674085
161	11.81535446
162	11.8002403
163	11.787881
164	11.77361393
165	11.76004793
166	11.73352825
167	11.70398745
168	11.6881925
169	11.66821482
170	11.64835223
171	11.64083619
172	11.61376371
173	11.60236572
174	11.59133843
175	11.57783074
176	11.54932441
177	11.52492563
178	11.51299183
179	11.50099144
180	11.49017914
181	11.46499011
182	11.45855755
183	11.44753715
184	11.43332188
185	11.42116645
186	11.40229805
187	11.39139036
188	11.37027606
189	11.34339013
190	11.33562028
191	11.32560288
192	11.31585286
193	11.30884772
194	11.29779011
195	11.28448555
196	11.26177967
197	11.25355426
198	11.24301305
199	11.22147297
200	11.20322271
201	11.1947944
202	11.18646172
203	11.17803609
204	11.14855443
205	11.1410949
206	11.1227027
207	11.11591557
208	11.1073196
209	11.09906928
210	11.08170634
211	11.07503439
212	11.07032455
213	11.05954493
214	11.04208117
215	11.03292457
216	11.02651591
217	11.01154064
218	11.00324711
219	10.99330272
220	10.9565233
221	10.94651768
222	10.93112258
223	10.92076967
224	10.91184632
225	10.9028172
226	10.89738511
227	10.85944825
228	10.83405005
229	10.82572753
230	10.81860782
231	10.79571812
232	10.7880273
233	10.77527812
234	10.76280528
235	10.75172167
236	10.72607733
237	10.71405879
238	10.7079002
239	10.6866306
240	10.6793984
241	10.66892191
242	10.66346682
243	10.65751958
244	10.64855218
245	10.64331674
246	10.63218834
247	10.60609769
248	10.60061196
249	10.59515936
250	10.58933862
251	10.58258793
252	10.57492247
253	10.56980536
254	10.56504907
255	10.54639815
256	10.52953837
257	10.52070722
258	10.51645252
259	10.51033629
260	10.50523816
261	10.49835663
262	10.492996
263	10.4792873
264	10.4751472
265	10.47015161
266	10.46267521
267	10.45520748
268	10.43956304
269	10.43459421
270	10.42727978
271	10.41774381
272	10.41099769
273	10.39802936
274	10.39411117
275	10.3855433
276	10.37770763
277	10.37482867
278	10.36970996
279	10.36365021
280	10.35563864
281	10.3484594
282	10.34162893
283	10.31976117
284	10.3057174
285	10.28613463
286	10.27206672
287	10.25791481
288	10.25207507
289	10.24690779
290	10.23564781
291	10.22987649
292	10.22290995
293	10.21712109
294	10.20647165
295	10.20320712
296	10.19989383
297	10.19577846
298	10.19054935
299	10.17086414
300	10.16559854
301	10.16260289
302	10.15379148
303	10.15042874
304	10.14710386
305	10.14432037
306	10.13434925
307	10.12964787
308	10.1226683
309	10.11671574
310	10.10790211
311	10.1027861
312	10.10032021
313	10.08935138
314	10.08469329
315	10.07892885
316	10.07069965
317	10.06708412
318	10.05471267
319	10.05120062
320	10.0454229
321	10.04251815
322	10.03523876
323	10.03025053
324	10.02047075
325	10.01778952
326	9.999121591
327	9.993592385
328	9.989688681
329	9.983515528
330	9.980549438
331	9.976835291
332	9.967584337
333	9.961333741
334	9.95333975
335	9.940721991
336	9.935737545
337	9.929076393
338	9.92638805
339	9.922589246
340	9.918069721
341	9.915327427
342	9.90992162
343	9.90756365
344	9.904571332
345	9.898957389
346	9.896031554
347	9.891836391
348	9.887987131
349	9.873231835
350	9.871098838
351	9.86308493
