iter	Passed	Remaining
0	1607	802209
1	2674	666022
2	4164	689999
3	5162	640089
4	6548	648328
5	8102	667142
6	9159	645067
7	10653	655169
8	12028	656233
9	13163	645017
10	14499	644560
11	16113	655291
12	17443	653475
13	18382	638125
14	19787	639804
15	20357	615816
16	21741	617706
17	22304	597251
18	23204	587446
19	23982	575588
20	24667	562653
21	25341	550599
22	26075	540791
23	26655	528661
24	27206	516930
25	27884	508358
26	28180	493678
27	28870	486676
28	29375	477091
29	30087	471374
30	30624	463318
31	31156	455658
32	31603	447236
33	32149	440639
34	32874	436759
35	33446	431094
36	34031	425851
37	34650	421275
38	35207	416168
39	35564	408992
40	35996	402989
41	36605	399172
42	37248	395870
43	37918	392976
44	38580	390089
45	39195	386842
46	39842	384010
47	40452	380928
48	41025	377604
49	41727	375546
50	42450	373732
51	43121	371508
52	43748	368976
53	44229	365301
54	44891	363210
55	45450	360356
56	46171	358844
57	46824	356833
58	47582	355659
59	48151	353109
60	48729	350695
61	49433	349221
62	49986	346732
63	50652	345072
64	51321	343456
65	52041	342209
66	52639	340194
67	53387	339167
68	54098	337918
69	54776	336482
70	55411	334811
71	55951	332600
72	56541	330731
73	57213	329361
74	57916	328191
75	58551	326657
76	59180	325106
77	59919	324177
78	60546	322661
79	61262	321629
80	61991	320670
81	62781	320033
82	63498	319022
83	64230	318092
84	64862	316681
85	65557	315592
86	66237	314437
87	66915	313285
88	67543	311912
89	68180	310600
90	68741	308957
91	69374	307661
92	69874	305795
93	70734	305514
94	71232	303673
95	71931	302711
96	72578	301536
97	73261	300520
98	73939	299492
99	74601	298407
100	75052	296492
101	75494	294577
102	76210	293744
103	77075	293479
104	77908	293083
105	78661	292384
106	79298	291254
107	80061	290591
108	80742	289636
109	81521	289031
110	82225	288160
111	82924	287272
112	83617	286371
113	84388	285736
114	85134	285015
115	85729	283794
116	86274	282418
117	87153	282141
118	87874	281346
119	88533	280356
120	89257	279575
121	89881	278486
122	90598	277688
123	91501	277457
124	92189	276569
125	92952	275906
126	93658	275075
127	94422	274415
128	95172	273714
129	95877	272882
130	96628	272183
131	97370	271457
132	98167	270884
133	98879	270074
134	99552	269161
135	100238	268285
136	101149	268009
137	101838	267142
138	102674	266657
139	103457	266034
140	104188	265273
141	105009	264741
142	105753	264014
143	106511	263321
144	107086	262178
145	107806	261394
146	108563	260700
147	109341	260054
148	109998	259125
149	110720	258348
150	111061	256691
151	111629	255573
152	112562	255289
153	113328	254620
154	114102	253969
155	114703	252935
156	115567	252482
157	116342	251830
158	117005	250935
159	117742	250203
160	118483	249476
161	119261	248828
162	119867	247824
163	120564	247010
164	121167	246007
165	121912	245293
166	122611	244487
167	123417	243896
168	123913	242695
169	124758	242178
170	125449	241362
171	126205	240671
172	126902	239867
173	127595	239057
174	128128	237952
175	128803	237115
176	129590	236484
177	130322	235751
178	130947	234827
179	131568	233899
180	132219	233027
181	132994	232375
182	133792	231761
183	134458	230918
184	135050	229950
185	135792	229240
186	136455	228398
187	137053	227450
188	137811	226768
189	138323	225686
190	138992	224862
191	139633	223994
192	140279	223138
193	140793	222075
194	141448	221240
195	142039	220306
196	142749	219559
197	143447	218793
198	144026	217849
199	144706	217059
200	145353	216222
201	145962	215330
202	146595	214477
203	147223	213617
204	147903	212836
205	148705	212230
206	149371	211429
207	150051	210648
208	150768	209921
209	151583	209330
210	152226	208500
211	152810	207591
212	153571	206924
213	154153	206018
214	154844	205258
215	155503	204458
216	156065	203532
217	156818	202856
218	157519	202113
219	158110	201232
220	158949	200664
221	159598	199857
222	160059	198818
223	160717	198027
224	161386	197250
225	161999	196406
226	162571	195514
227	163269	194777
228	163771	193807
229	164723	193371
230	165354	192555
231	165798	191526
232	166477	190770
233	167076	189925
234	167768	189185
235	168253	188215
236	169199	187761
237	169847	186974
238	170485	186178
239	171263	185535
240	171946	184788
241	172540	183948
242	173156	183132
243	173741	182286
244	174336	181452
245	174948	180638
246	175616	179882
247	176461	179308
248	177120	178542
249	177740	177740
250	178430	177008
251	179041	176199
252	179570	175311
253	180144	174470
254	180802	173712
255	181489	172982
256	182262	172333
257	182885	171544
258	183448	170699
259	184212	170042
260	184945	169355
261	185693	168683
262	186322	167903
263	187018	167183
264	187684	166437
265	188332	165675
266	189120	165037
267	189701	164219
268	190462	163556
269	191047	162744
270	191786	162063
271	192769	161586
272	193557	160943
273	194205	160184
274	194748	159339
275	195370	158561
276	196023	157809
277	196619	157012
278	197309	156292
279	197898	155491
280	198526	154723
281	199184	153979
282	199745	153161
283	200440	152447
284	201108	151713
285	201855	151038
286	202637	150389
287	203218	149591
288	203885	148857
289	204515	148097
290	205176	147360
291	205888	146660
292	206518	145901
293	207047	145074
294	207527	144213
295	208096	143417
296	208633	142601
297	209172	141787
298	209839	141062
299	210606	140404
300	211178	139616
301	211758	138834
302	212392	138090
303	213060	137367
304	213705	136631
305	214298	135862
306	215035	135184
307	215716	134472
308	216392	133756
309	216994	132996
310	217738	132323
311	218405	131603
312	218950	130810
313	219589	130075
314	220293	129378
315	220900	128625
316	221693	127981
317	222260	127205
318	222844	126441
319	223504	125721
320	224137	124986
321	224730	124229
322	225522	123583
323	226201	122874
324	226956	122207
325	227738	121553
326	228535	120906
327	229175	120177
328	229845	119463
329	230558	118772
330	231167	118027
331	231812	117302
332	232408	116553
333	233176	115890
334	233963	115235
335	234709	114560
336	235506	113909
337	236175	113196
338	236874	112497
339	237476	111753
340	238178	111056
341	238726	110288
342	239365	109563
343	240066	108867
344	240609	108100
345	241260	107381
346	241880	106650
347	242467	105905
348	243142	105199
349	243748	104463
350	244361	103731
351	245092	103050
352	245691	102313
353	246257	101563
354	246939	100862
355	247509	100116
356	248110	99383
357	248684	98640
